[1509886887.658384],log level:0,thread name:Decision Task initialised ,Decision Task initialised: is Initialised
[1509886887.689268],log level:0,thread name:Temperature Sensor ,Temperature Sensor: is Initialised
[1509886887.700999],log level:0,thread name:Light Sensor ,Light Sensor: is Initialised
[1509886887.716288],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886887.721181],log level:0,thread name:temp ,temp:is alive
[1509886887.726703],log level:0,thread name:light sensor ,light sensor: Luminosity is 2.847960
[1509886887.734162],log level:0,thread name:decision ,decision:is alive
[1509886887.734669],log level:0,thread name:log ,log:is alive
[1509886887.737566],log level:0,thread name:light ,light:is alive
[1509886887.749746],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886887.752693],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886887.757945],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886887.760586],log level:0,thread name:temp ,temp:is alive
[1509886887.769135],log level:0,thread name:light sensor ,light sensor: Luminosity is 2.847960
[1509886887.772853],log level:0,thread name:decision ,decision:is alive
[1509886887.773341],log level:0,thread name:log ,log:is alive
[1509886887.776315],log level:0,thread name:light ,light:is alive
[1509886887.789996],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886887.795178],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886887.800094],log level:0,thread name:temp ,temp:is alive
[1509886887.800574],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886887.812184],log level:0,thread name:light sensor ,light sensor: Luminosity is 2.847960
[1509886887.815132],log level:0,thread name:decision ,decision:is alive
[1509886887.816732],log level:0,thread name:log ,log:is alive
[1509886887.817444],log level:0,thread name:light ,light:is alive
[1509886887.828657],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886887.830740],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886887.833052],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886887.839404],log level:0,thread name:temp ,temp:is alive
[1509886887.844079],log level:0,thread name:light sensor ,light sensor: Luminosity is 2.879558
[1509886887.845058],log level:0,thread name:decision ,decision:is alive
[1509886887.845235],log level:0,thread name:log ,log:is alive
[1509886887.848644],log level:0,thread name:light ,light:is alive
[1509886887.851906],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886887.853178],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886887.854868],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886887.855116],log level:0,thread name:temp ,temp:is alive
[1509886887.860315],log level:0,thread name:decision ,decision:is alive
[1509886887.860899],log level:0,thread name:log ,log:is alive
[1509886887.864104],log level:0,thread name:light sensor ,light sensor: Luminosity is 2.879558
[1509886887.865678],log level:0,thread name:light ,light:is alive
[1509886887.870552],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886887.870907],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886887.872633],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886887.873277],log level:0,thread name:temp ,temp:is alive
[1509886887.876502],log level:0,thread name:decision ,decision:is alive
[1509886887.876700],log level:0,thread name:log ,log:is alive
[1509886887.881428],log level:0,thread name:light sensor ,light sensor: Luminosity is 2.879558
[1509886887.885816],log level:0,thread name:light ,light:is alive
[1509886887.890666],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886887.891020],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886887.892575],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886887.895860],log level:0,thread name:temp ,temp:is alive
[1509886887.896909],log level:0,thread name:decision ,decision:is alive
[1509886887.897083],log level:0,thread name:log ,log:is alive
[1509886887.901011],log level:0,thread name:light sensor ,light sensor: Luminosity is 2.879558
[1509886887.902292],log level:0,thread name:light ,light:is alive
[1509886887.906884],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886887.907260],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886887.908423],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886887.909489],log level:0,thread name:temp ,temp:is alive
[1509886887.912622],log level:0,thread name:decision ,decision:is alive
[1509886887.912882],log level:0,thread name:log ,log:is alive
[1509886887.916325],log level:0,thread name:light sensor ,light sensor: Luminosity is 2.879558
[1509886887.917870],log level:0,thread name:light ,light:is alive
[1509886887.922211],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886887.923111],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886887.926419],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886887.927406],log level:0,thread name:temp ,temp:is alive
[1509886887.928445],log level:0,thread name:decision ,decision:is alive
[1509886887.929088],log level:0,thread name:log ,log:is alive
[1509886887.934413],log level:0,thread name:light sensor ,light sensor: Luminosity is 2.879558
[1509886887.935695],log level:0,thread name:light ,light:is alive
[1509886887.940306],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886887.940679],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886887.942300],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886887.943922],log level:0,thread name:temp ,temp:is alive
[1509886887.945422],log level:0,thread name:decision ,decision:is alive
[1509886887.946025],log level:0,thread name:log ,log:is alive
[1509886887.951067],log level:0,thread name:light sensor ,light sensor: Luminosity is 2.879558
[1509886887.952293],log level:0,thread name:light ,light:is alive
[1509886887.957049],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886887.957432],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886887.960642],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886887.960901],log level:0,thread name:temp ,temp:is alive
[1509886887.962254],log level:0,thread name:decision ,decision:is alive
[1509886887.962853],log level:0,thread name:log ,log:is alive
[1509886887.968096],log level:0,thread name:light sensor ,light sensor: Luminosity is 2.879558
[1509886887.969155],log level:0,thread name:light ,light:is alive
[1509886887.972850],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886887.974306],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886887.976876],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886887.977124],log level:0,thread name:temp ,temp:is alive
[1509886887.977929],log level:0,thread name:decision ,decision:is alive
[1509886887.978094],log level:0,thread name:log ,log:is alive
[1509886887.983695],log level:0,thread name:light sensor ,light sensor: Luminosity is 2.879558
[1509886887.988498],log level:0,thread name:light ,light:is alive
[1509886887.993216],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886887.994313],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886887.995259],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886887.995841],log level:0,thread name:temp ,temp:is alive
[1509886887.996935],log level:0,thread name:decision ,decision:is alive
[1509886887.998117],log level:0,thread name:log ,log:is alive
[1509886888.2635],log level:0,thread name:light sensor ,light sensor: Luminosity is 2.879558
[1509886888.3219],log level:0,thread name:light ,light:is alive
[1509886888.8069],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886888.8618],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886888.10055],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886888.10319],log level:0,thread name:temp ,temp:is alive
[1509886888.11081],log level:0,thread name:decision ,decision:is alive
[1509886888.12170],log level:0,thread name:log ,log:is alive
[1509886888.15998],log level:0,thread name:light sensor ,light sensor: Luminosity is 2.879558
[1509886888.17650],log level:0,thread name:light ,light:is alive
[1509886888.22492],log level:3,thread name:temperature thread ,temperature thread: is requesting light task to the query
[1509886888.23022],log level:3,thread name:light thread ,light thread: is responding to the query
[1509886888.23908],log level:0,thread name:temperature sensor ,temperature sensor: Temperature is 22.000000
[1509886888.24101],log level:0,thread name:temp ,temp:is alive
[1509886888.25170],log level:0,thread name:decision ,decision:is alive
[1509886888.25323],log level:0,thread name:log ,log:is alive
[1509886888.30833],log level:0,thread name:light sensor ,light sensor: Luminosity is 2.879558
